Entity,Code,Year,Population
Sweden,SWE,100,220000
Sweden,SWE,200,240000
Sweden,SWE,300,260000
Sweden,SWE,400,280000
Sweden,SWE,500,300000
Sweden,SWE,600,320000
Sweden,SWE,700,340000
Sweden,SWE,800,360000
Sweden,SWE,900,379999
Sweden,SWE,1000,400000
Sweden,SWE,1100,470000
Sweden,SWE,1200,540000
Sweden,SWE,1300,1099999
Sweden,SWE,1400,433628
Sweden,SWE,1500,507785
Sweden,SWE,1600,766244
Sweden,SWE,1700,1368169
Sweden,SWE,1710,1422676
Sweden,SWE,1720,1451918
Sweden,SWE,1730,1619739
Sweden,SWE,1740,1719699
Sweden,SWE,1750,1772682
Sweden,SWE,1760,1915530
Sweden,SWE,1770,2036525
Sweden,SWE,1780,2103908
Sweden,SWE,1790,2188343
Sweden,SWE,1800,2500000
Sweden,SWE,1801,2489400
Sweden,SWE,1802,2478845
Sweden,SWE,1803,2468335
Sweden,SWE,1804,2457869
Sweden,SWE,1805,2447448
Sweden,SWE,1806,2437070
Sweden,SWE,1807,2426737
Sweden,SWE,1808,2416448
Sweden,SWE,1809,2406202
Sweden,SWE,1810,2412437
Sweden,SWE,1811,2418704
Sweden,SWE,1812,2430522
Sweden,SWE,1813,2447906
Sweden,SWE,1814,2465415
Sweden,SWE,1815,2483049
Sweden,SWE,1816,2500810
Sweden,SWE,1817,2518697
Sweden,SWE,1818,2536713
Sweden,SWE,1819,2556937
Sweden,SWE,1820,2579409
Sweden,SWE,1821,2604170
Sweden,SWE,1822,2631258
Sweden,SWE,1823,2660715
Sweden,SWE,1824,2690502
Sweden,SWE,1825,2720622
Sweden,SWE,1826,2751079
Sweden,SWE,1827,2781877
Sweden,SWE,1828,2813020
Sweden,SWE,1829,2842832
Sweden,SWE,1830,2871282
Sweden,SWE,1831,2898343
Sweden,SWE,1832,2923984
Sweden,SWE,1833,2948175
Sweden,SWE,1834,2972567
Sweden,SWE,1835,2997160
Sweden,SWE,1836,3021957
Sweden,SWE,1837,3046958
Sweden,SWE,1838,3072167
Sweden,SWE,1839,3098887
Sweden,SWE,1840,3127143
Sweden,SWE,1841,3156963
Sweden,SWE,1842,3188373
Sweden,SWE,1843,3221400
Sweden,SWE,1844,3254769
Sweden,SWE,1845,3288483
Sweden,SWE,1846,3322547
Sweden,SWE,1847,3356964
Sweden,SWE,1848,3391737
Sweden,SWE,1849,3426618
Sweden,SWE,1850,3461607
Sweden,SWE,1851,3496809
Sweden,SWE,1852,3532116
Sweden,SWE,1853,3567529
Sweden,SWE,1854,3603296
Sweden,SWE,1855,3639423
Sweden,SWE,1856,3675911
Sweden,SWE,1857,3712765
Sweden,SWE,1858,3749989
Sweden,SWE,1859,3786484
Sweden,SWE,1860,3822233
Sweden,SWE,1861,3857220
Sweden,SWE,1862,3891427
Sweden,SWE,1863,3924837
Sweden,SWE,1864,3958533
Sweden,SWE,1865,3992519
Sweden,SWE,1866,4026796
Sweden,SWE,1867,4061368
Sweden,SWE,1868,4096237
Sweden,SWE,1869,4132102
Sweden,SWE,1870,4168979
Sweden,SWE,1871,4206884
Sweden,SWE,1872,4245832
Sweden,SWE,1873,4285838
Sweden,SWE,1874,4326221
Sweden,SWE,1875,4366984
Sweden,SWE,1876,4408132
Sweden,SWE,1877,4449667
Sweden,SWE,1878,4491594
Sweden,SWE,1879,4529401
Sweden,SWE,1880,4563030
Sweden,SWE,1881,4592421
Sweden,SWE,1882,4617513
Sweden,SWE,1883,4638245
Sweden,SWE,1884,4659071
Sweden,SWE,1885,4679989
Sweden,SWE,1886,4701002
Sweden,SWE,1887,4722109
Sweden,SWE,1888,4743311
Sweden,SWE,1889,4766883
Sweden,SWE,1890,4792852
Sweden,SWE,1891,4821244
Sweden,SWE,1892,4852087
Sweden,SWE,1893,4885406
Sweden,SWE,1894,4918955
Sweden,SWE,1895,4952734
Sweden,SWE,1896,4986745
Sweden,SWE,1897,5020989
Sweden,SWE,1898,5055469
Sweden,SWE,1899,5089642
Sweden,SWE,1900,5123503
Sweden,SWE,1901,5157047
Sweden,SWE,1902,5190268
Sweden,SWE,1903,5223160
Sweden,SWE,1904,5256260
