Entity,Code,Year,Population
Albania,ALB,100,198604
Albania,ALB,200,198803
Albania,ALB,300,199001
Albania,ALB,400,199201
Albania,ALB,500,199400
Albania,ALB,600,199600
Albania,ALB,700,199799
Albania,ALB,800,200000
Albania,ALB,900,200000
Albania,ALB,1000,200000
Albania,ALB,1100,200000
Albania,ALB,1200,200000
Albania,ALB,1300,200000
Albania,ALB,1400,200000
Albania,ALB,1500,200000
Albania,ALB,1600,200000
Albania,ALB,1700,299999
Albania,ALB,1710,311416
Albania,ALB,1720,322833
Albania,ALB,1730,334250
Albania,ALB,1740,345666
Albania,ALB,1750,357083
Albania,ALB,1760,368499
Albania,ALB,1770,379916
Albania,ALB,1780,391333
Albania,ALB,1790,402750
Albania,ALB,1800,400000
Albania,ALB,1801,401773
Albania,ALB,1802,403554
Albania,ALB,1803,405343
Albania,ALB,1804,407140
Albania,ALB,1805,408945
Albania,ALB,1806,410758
Albania,ALB,1807,412579
Albania,ALB,1808,414408
Albania,ALB,1809,416246
Albania,ALB,1810,418099
Albania,ALB,1811,419953
Albania,ALB,1812,421814
Albania,ALB,1813,423684
Albania,ALB,1814,425563
Albania,ALB,1815,427449
Albania,ALB,1816,429344
Albania,ALB,1817,431248
Albania,ALB,1818,433159
Albania,ALB,1819,435086
Albania,ALB,1820,437026
Albania,ALB,1821,438981
Albania,ALB,1822,440950
Albania,ALB,1823,442934
Albania,ALB,1824,444927
Albania,ALB,1825,446929
Albania,ALB,1826,448940
Albania,ALB,1827,450959
Albania,ALB,1828,452988
Albania,ALB,1829,455027
Albania,ALB,1830,457074
Albania,ALB,1831,459130
Albania,ALB,1832,461196
Albania,ALB,1833,463271
Albania,ALB,1834,465356
Albania,ALB,1835,467449
Albania,ALB,1836,469552
Albania,ALB,1837,471665
Albania,ALB,1838,473787
Albania,ALB,1839,475919
Albania,ALB,1840,478060
Albania,ALB,1841,480211
Albania,ALB,1842,482372
Albania,ALB,1843,484542
Albania,ALB,1844,486722
Albania,ALB,1845,488912
Albania,ALB,1846,491112
Albania,ALB,1847,493321
Albania,ALB,1848,495541
Albania,ALB,1849,498261
Albania,ALB,1850,501490
Albania,ALB,1851,505313
Albania,ALB,1852,509659
Albania,ALB,1853,514536
Albania,ALB,1854,519460
Albania,ALB,1855,524430
Albania,ALB,1856,529449
Albania,ALB,1857,534515
Albania,ALB,1858,539629
Albania,ALB,1859,544793
Albania,ALB,1860,550006
Albania,ALB,1861,555269
Albania,ALB,1862,560582
Albania,ALB,1863,565946
Albania,ALB,1864,571361
Albania,ALB,1865,576828
Albania,ALB,1866,582348
